Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2017-12,423101,-14.577419354838712,15.764516129032259,0.3548387096774194,63.516129032258064,1031.5774193548389,-18.98064516129033,226.54864887023078
2018-01,433225,-21.388709677419357,13.364516129032255,0.10322580645161289,50.54838709677419,1035.832258064516,-25.6,272.425713466511
2018-02,959560,-17.04285714285714,14.464285714285714,0.16071428571428573,59.107142857142854,1031.332142857143,-21.403571428571432,392.5092278833637
2018-03,1164921,-5.780645161290321,14.203225806451613,0.3709677419354839,46.774193548387096,1019.8774193548387,-12.53225806451613,687.7192404842455
2018-04,1138570,4.635000000000001,17.823333333333334,0.3333333333333333,52.766666666666666,1017.7000000000002,-7.976666666666666,939.0292533867964
2018-06,1362939,18.738333333333337,16.413333333333334,1.1066666666666667,60.06666666666667,1006.6233333333332,7.566666666666666,1245.587624116294
2018-07,1221670,18.54032258064516,14.593548387096773,3.064516129032258,62.225806451612904,1004.4645161290323,11.558064516129036,1236.8009035024322
2018-08,1362557,17.903225806451616,11.096774193548388,2.6806451612903226,57.193548387096776,1009.9870967741937,12.75483870967742,1050.4183491766228
2018-09,1040375,9.79666666666667,15.963333333333335,2.7800000000000007,65.16666666666667,1015.3999999999999,4.006666666666666,757.4892648803107
2018-10,1054939,4.008064516129032,14.641935483870968,0.696774193548387,42.29032258064516,1021.4161290322583,-3.4161290322580653,508.3035128343024
2018-11,749329,-8.186666666666666,13.126666666666669,0.20666666666666667,40.833333333333336,1024.76,-16.61,297.91660993547214
2018-12,556808,-17.143548387096775,13.77741935483871,0.13548387096774195,51.935483870967744,1035.3000000000002,-23.541935483870965,226.54864887023078
2019-01,714386,-16.856451612903225,13.729032258064517,0.025806451612903226,44.67741935483871,1033.193548387097,-22.34516129032258,272.425713466511
2019-02,1137924,-16.494642857142857,12.292857142857143,0.0,27.107142857142858,1033.392857142857,-23.578571428571426,392.5092278833637
2019-03,1229121,-1.0580645161290319,16.583870967741937,0.1935483870967742,51.516129032258064,1021.8354838709676,-12.6258064516129,687.7192404842455
2019-04,1511283,4.348333333333333,17.62,0.19666666666666666,46.06666666666667,1015.9533333333333,-11.183333333333335,939.0292533867964
2019-05,1572111,9.73225806451613,19.093548387096778,0.20967741935483872,50.54838709677419,1013.6806451612902,-7.748387096774192,1189.6908799333721
