Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2018-12,82014,-6.641935483870968,21.20967741935484,2.612903225806451,92.93548387096774,1024.7451612903226,-8.193548387096774,228.65959131835461
2019-01,541616,-9.28225806451613,29.706451612903233,2.1225806451612903,83.12903225806451,1019.5774193548388,-11.103225806451615,274.5876301978859
2019-02,1237174,-7.332142857142856,25.782142857142855,0.7000000000000001,82.07142857142857,1019.6071428571428,-8.985714285714286,394.4862956431781
2019-03,1653402,-1.1145161290322583,26.32903225806451,1.5709677419354837,74.41935483870968,1014.506451612903,-2.5967741935483875,689.6426665386629
2019-04,2069238,9.441666666666666,19.58666666666666,0.6766666666666666,53.03333333333333,1018.8399999999999,1.3333333333333333,940.2913760375826
2019-05,2017300,18.229032258064514,19.81290322580646,0.9903225806451613,51.096774193548384,1014.1548387096774,8.567741935483872,1190.2784077195438
2019-06,2144720,23.064999999999994,17.766666666666666,0.07333333333333333,34.03333333333333,1014.6600000000001,9.020000000000001,1245.7671221315256
2019-07,1877488,22.616129032258065,21.33548387096774,1.7709677419354841,46.29032258064516,1007.0064516129031,10.741935483870968,1237.1766233961089
2019-08,1918366,20.853225806451615,23.9,0.5258064516129033,40.03225806451613,1012.9451612903224,8.151612903225807,1051.4443751643757
2019-09,1789933,14.105,18.62333333333333,0.6366666666666667,54.43333333333333,1017.37,3.6199999999999997,759.148204568995
2019-10,1246209,11.049999999999999,20.067741935483873,1.0129032258064516,63.193548387096776,1018.7322580645159,5.487096774193548,510.4196553538063
2019-11,863038,-0.23500000000000013,16.493333333333332,0.06333333333333332,57.96666666666667,1031.0433333333333,-5.16,300.01872391219456
2019-12,516797,-2.4467741935483875,19.32903225806452,0.7774193548387097,76.58064516129032,1019.3967741935484,-5.4,228.65959131835461
2020-01,390736,-2.4629032258064516,19.796774193548387,0.9612903225806452,89.12903225806451,1018.0451612903228,-4.038709677419354,274.5876301978859
