Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2019-03,2935813,-1.2548387096774194,21.606451612903225,1.4774193548387096,74.70967741935483,1016.0612903225806,-3.751612903225806,668.9646738445426
2019-04,4606842,7.578333333333333,18.603333333333335,1.0866666666666667,47.266666666666666,1018.9366666666666,-1.0899999999999999,926.6450505486242
2019-05,5009397,17.49032258064516,21.319354838709675,0.40967741935483865,52.61290322580645,1015.5935483870967,3.9677419354838714,1183.871138707659
2019-06,5278439,21.07333333333333,19.286666666666672,0.21333333333333335,41.9,1013.1766666666666,7.946666666666667,1243.7675493045597
2019-07,4752835,22.640322580645158,20.870967741935484,1.6161290322580644,46.806451612903224,1005.9129032258065,11.112903225806454,1233.054454351358
2019-08,3730796,19.06774193548387,20.64838709677419,1.4193548387096775,59.225806451612904,1011.1838709677418,9.80322580645161,1040.3234888794198
2019-09,3071072,11.484999999999998,18.35,1.2366666666666668,55.36666666666667,1016.4500000000002,4.69,741.2781887877397
2019-10,2349858,9.143548387096775,19.525806451612905,1.2419354838709677,71.16129032258064,1019.6645161290321,1.980645161290322,487.75109584668826
2019-11,660601,-2.828333333333333,14.973333333333333,0.5166666666666666,61.333333333333336,1032.07,-7.48,277.63576401461467
2019-12,449767,-5.9806451612903215,17.216129032258067,1.4774193548387098,80.25806451612904,1020.1709677419354,-7.796774193548386,206.27438545583132
2020-01,520750,-5.337096774193548,22.30322580645161,2.1645161290322585,94.3225806451613,1017.4064516129033,-6.670967741935484,251.60580253081645
2020-02,1558824,-5.522413793103447,22.051724137931036,1.3172413793103446,80.20689655172414,1016.8620689655173,-6.989655172413793,390.3845934969553
2020-03,4103146,1.2677419354838708,17.6,0.45161290322580644,61.0,1023.7354838709678,-3.719354838709677,678.5037452698916
2020-04,4000726,7.4750000000000005,25.680000000000007,1.4433333333333336,60.8,1012.0500000000001,-1.4733333333333334,935.2113574458901
2020-05,4560496,17.20967741935484,20.774193548387103,1.3838709677419354,46.193548387096776,1013.5806451612904,5.696774193548387,1189.4252397303328
2020-06,5007374,20.624999999999996,21.19333333333333,0.6833333333333333,46.63333333333333,1014.1166666666666,6.366666666666668,1244.4995366679286
2020-07,4282459,25.43064516129032,17.16774193548387,0.8129032258064516,40.354838709677416,1011.7064516129033,10.448387096774193,1228.838578311474
2020-08,4172404,20.545161290322582,20.490322580645163,1.0096774193548386,54.225806451612904,1008.3032258064516,9.95483870967742,1032.2830802977167
2020-09,4104784,13.291666666666668,17.999999999999996,1.1433333333333333,38.13333333333333,1019.6266666666668,5.449999999999999,732.0295510600286
2020-10,3082478,7.153225806451614,16.45806451612903,0.7419354838709679,56.32258064516129,1026.916129032258,-1.1903225806451612,479.57393132801997
2020-11,1527208,-2.4033333333333333,14.953333333333337,0.53,57.2,1029.4266666666667,-7.213333333333335,273.1502993379553
2020-12,891756,-12.70483870967742,12.038709677419355,0.6193548387096776,58.45161290322581,1037.4741935483873,-15.235483870967743,205.7295334175983
2021-01,852313,-10.44032258064516,20.225806451612904,1.035483870967742,90.09677419354838,1026.974193548387,-12.680645161290322,251.60580253081645
2021-02,1372200,-12.176785714285714,21.83928571428572,1.757142857142857,81.96428571428571,1018.5428571428571,-14.264285714285716,373.34827594781916
2021-03,3919964,-6.306451612903227,21.219354838709673,1.1322580645161289,67.0,1017.6516129032258,-8.690322580645162,668.9646738445426
2021-04,4241832,7.890000000000001,20.23666666666667,1.28,53.766666666666666,1021.3466666666667,0.033333333333333326,926.6450505486242
2021-05,5739261,20.49677419354839,18.861290322580647,0.1935483870967742,34.83870967741935,1016.6483870967743,4.70967741935484,1183.871138707659
2021-06,5029326,24.385,20.480000000000004,0.9733333333333333,39.0,1013.5233333333333,9.826666666666666,1243.7675493045597
2021-07,5208201,23.97741935483871,19.53870967741935,0.9677419354838711,41.54838709677419,1008.8354838709679,10.396774193548387,1233.054454351358
2021-08,5288661,25.403225806451612,15.238709677419356,0.016129032258064516,30.29032258064516,1015.4967741935484,6.135483870967741,1040.3234888794198
2021-09,2998537,13.32,20.663333333333338,0.83,67.63333333333334,1015.55,1.7866666666666666,741.2781887877397
2021-10,2623788,7.31451612903226,17.877419354838707,0.5806451612903226,65.80645161290323,1026.1774193548388,0.14838709677419343,487.75109584668826
2021-11,1323686,-1.8833333333333333,20.82,1.1366666666666665,81.66666666666667,1022.7433333333333,-6.963333333333333,277.63576401461467
2021-12,605223,-7.325806451612902,18.94516129032258,1.464516129032258,83.48387096774194,1022.6483870967743,-9.858064516129033,206.27438545583132
2022-01,1247738,-9.874193548387098,20.10322580645161,1.2999999999999996,90.19354838709677,1018.1129032258065,-11.606451612903225,251.60580253081645
2022-02,1463524,-4.8,21.071428571428577,1.3535714285714284,92.96428571428571,1020.775,-6.249999999999999,373.34827594781916
2022-03,4009644,-6.004838709677419,21.325806451612902,1.1096774193548384,67.6774193548387,1019.4741935483871,-8.264516129032257,668.9646738445426
2022-04,3557339,10.618333333333336,20.10666666666667,0.85,71.63333333333334,1016.0433333333332,3.583333333333334,926.6450505486242
2022-05,4304670,12.390322580645162,22.796774193548387,3.4806451612903224,66.93548387096774,1011.6935483870969,3.8064516129032264,1183.871138707659
2022-06,5188583,19.679999999999996,19.386666666666667,0.7633333333333333,50.6,1009.6499999999999,10.199999999999998,1243.7675493045597
2022-07,4865541,22.51774193548387,16.487096774193546,0.7032258064516129,51.225806451612904,1011.3290322580643,12.761290322580646,1233.054454351358
2022-08,5493956,23.427419354838708,15.86774193548387,0.05806451612903226,26.387096774193548,1019.816129032258,9.748387096774193,1040.3234888794198
2022-09,3093661,16.023333333333333,20.313333333333336,2.893333333333333,70.83333333333333,1014.9699999999999,5.260000000000001,741.2781887877397
2022-10,1994164,7.129032258064515,18.432258064516127,1.5419354838709673,73.12903225806451,1021.558064516129,0.8774193548387096,487.75109584668826
2022-11,591722,-2.17,19.316666666666666,2.3666666666666667,89.6,1019.8666666666666,-5.3933333333333335,277.63576401461467
2022-12,917810,-8.887096774193548,15.696774193548388,0.6741935483870969,56.45161290322581,1034.1548387096775,-13.877419354838711,206.27438545583132
2023-01,1695186,-13.977419354838709,15.116129032258065,1.0612903225806452,52.354838709677416,1033.1258064516128,-16.900000000000002,251.60580253081645
2023-02,2069528,-9.094642857142857,21.360714285714288,1.4392857142857145,88.53571428571429,1020.3714285714285,-11.28214285714286,373.34827594781916
2023-03,3845732,1.559677419354839,22.93870967741936,0.7903225806451614,65.54838709677419,1017.5741935483871,-2.9000000000000004,668.9646738445426
2023-04,4009323,9.508333333333333,18.046666666666667,1.43,49.36666666666667,1018.9466666666666,-0.4866666666666665,926.6450505486242
2023-05,3721740,17.256451612903227,20.95806451612903,0.767741935483871,60.12903225806452,1019.1161290322583,3.3645161290322574,1183.871138707659
2023-06,4649750,20.566666666666663,20.643333333333327,1.0833333333333333,55.233333333333334,1011.0666666666667,7.209999999999999,1243.7675493045597
2023-07,4603587,23.503225806451614,18.396774193548385,2.0935483870967744,48.354838709677416,1007.5225806451613,12.490322580645161,1233.054454351358
2023-08,4863354,21.29032258064516,18.60645161290323,0.5774193548387097,36.58064516129032,1011.3709677419355,10.36451612903226,1040.3234888794198
2023-09,3716758,14.621666666666668,13.750000000000002,0.77,36.56666666666667,1019.0466666666667,7.966666666666667,741.2781887877397
2023-10,1832081,7.567741935483872,23.67096774193548,3.4258064516129028,73.3225806451613,1014.9000000000001,2.4709677419354836,487.75109584668826
2023-11,935629,2.6749999999999994,20.79333333333333,1.7533333333333334,79.16666666666667,1014.89,-0.4566666666666668,277.63576401461467
2023-12,657637,-6.164516129032258,21.36451612903226,1.9903225806451617,81.6774193548387,1021.6935483870967,-10.190322580645162,206.27438545583132
2024-01,127383,-12.862903225806456,20.44838709677419,1.7258064516129035,80.54838709677419,1020.2838709677421,-15.329032258064515,251.60580253081645
